id,name,symbol,price_eur,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,max_supply,circulating_supply,infinite_supply
1,Bitcoin,BTC,61793.93544365101,-0.13713581,-2.27755216,-2.26555283,2024-10-26T14:59:05.000Z,21000000.0,19773265.0,False
1027,Ethereum,ETH,2263.311041084952,-0.76737136,-3.80841771,-7.72401041,2024-10-26T14:59:05.000Z,,120399251.19061369,True
825,Tether USDt,USDT,0.9245970091469228,-0.00411658,-0.08286946,-0.12225685,2024-10-26T14:59:05.000Z,,120304469780.02702,True
1839,BNB,BNB,536.4727158505943,-0.20632322,-2.23708446,-3.11038509,2024-10-26T14:59:05.000Z,,145931154.26852828,False
5426,Solana,SOL,155.52799774645112,-0.0648336,-4.34568568,7.08370698,2024-10-26T14:59:05.000Z,,470195459.35380566,True
3408,USDC,USDC,0.9256517186118992,-0.00248549,-0.02001526,-0.00956833,2024-10-26T14:59:05.000Z,,34686292307.13899,False
52,XRP,XRP,0.4699428388504944,-0.59100469,-3.39544317,-6.89071577,2024-10-26T14:59:05.000Z,100000000000.0,56811862950.0,False
74,Dogecoin,DOGE,0.1230792470759344,-0.50998391,-3.67533084,-9.10124399,2024-10-26T14:59:05.000Z,,146528756383.70505,True
1958,TRON,TRX,0.1519309267338146,-0.37818612,-1.24897062,4.1389404,2024-10-26T14:59:05.000Z,,86486094295.7915,True
11419,Toncoin,TON,4.490453567375638,-0.91447066,-3.46179742,-7.59771183,2024-10-26T14:59:05.000Z,,2541871972.391581,True
1,Bitcoin,BTC,62120.49362730109,0.18285603,0.36416361,-1.57863822,2024-10-26T19:59:05.000Z,21000000.0,19773359.0,False
1027,Ethereum,ETH,2299.1559935336154,0.20990389,0.34176539,-5.99596762,2024-10-26T19:59:05.000Z,,120399251.19061369,True
825,Tether USDt,USDT,0.9246408989151348,0.0057186,0.04284472,-0.12843662,2024-10-26T19:59:05.000Z,,120304469780.02702,True
1839,BNB,BNB,541.4415438715042,0.18624065,0.01776674,-2.04344164,2024-10-26T19:59:05.000Z,,145931144.37628806,False
5426,Solana,SOL,158.66895583128874,0.92188947,1.96323745,9.59313235,2024-10-26T19:59:05.000Z,,470192874.2871848,True
3408,USDC,USDC,0.9258529007073022,0.01650447,0.01267388,0.0088385,2024-10-26T19:59:05.000Z,,34674129808.73681,False
52,XRP,XRP,0.4744350019709554,0.17234025,-0.39556807,-5.37905054,2024-10-26T19:59:05.000Z,100000000000.0,56811862950.0,False
74,Dogecoin,DOGE,0.1260082440972443,0.17960202,0.86361513,-2.77085391,2024-10-26T19:59:05.000Z,,146531516383.7052,True
1958,TRON,TRX,0.1521646790377073,0.1109772,-0.11161032,4.71536114,2024-10-26T19:59:05.000Z,,86485270748.68863,True
